sleep_date,HKCategoryValueSleepAnalysisAsleepCore,HKCategoryValueSleepAnalysisAsleepDeep,HKCategoryValueSleepAnalysisAsleepREM,HKCategoryValueSleepAnalysisAsleepUnspecified,HKCategoryValueSleepAnalysisAwake,HKCategoryValueSleepAnalysisInBed,total_sleep,total_sleep_minutes
2022-02-26,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-02-27,0.0,0.0,0.0,0.0,0.0,7.658333333333333,0.0,0.0
2022-02-28,0.0,0.0,0.0,0.0,0.0,7.1725,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-03-02,0.0,0.0,0.0,0.0,0.0,7.386111111111111,0.0,0.0
2022-03-03,0.0,0.0,0.0,0.0,0.0,7.853888888888889,0.0,0.0
2022-03-04,0.0,0.0,0.0,0.0,0.0,6.563055555555556,0.0,0.0
2022-03-05,0.0,0.0,0.0,0.0,0.0,6.893055555555556,0.0,0.0
2022-03-06,0.0,0.0,0.0,0.0,0.0,7.284722222222222,0.0,0.0
2022-03-07,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-03-08,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-03-09,0.0,0.0,0.0,0.0,0.0,7.1475,0.0,0.0
2022-03-10,0.0,0.0,0.0,0.0,0.0,7.133333333333334,0.0,0.0
2022-03-11,0.0,0.0,0.0,0.0,0.0,7.736666666666666,0.0,0.0
2022-03-12,0.0,0.0,0.0,0.0,0.0,7.083333333333333,0.0,0.0
2022-03-13,0.0,0.0,0.0,0.0,0.0,7.093333333333334,0.0,0.0
2022-03-14,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-03-15,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-03-16,0.0,0.0,0.0,0.0,0.0,7.491666666666666,0.0,0.0
2022-03-17,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-03-18,0.0,0.0,0.0,0.0,0.0,7.878611111111111,0.0,0.0
2022-03-19,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-03-20,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
